source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
488,19761,MG/EKH/78O12/2017/66,Meghalaya,East Khasi Hills,NA,Along Sohra Mawlong road,25.208593,91.742294,Debris,Slide,2017
488,19762,MG/EKH/78O12/2017/36,Meghalaya,East Khasi Hills,NA,Approach road to Mustoh,25.209427,91.646032,Rock,Slide,NA
488,19763,MG/EKH/78O12/2017/10,Meghalaya,East Khasi Hills,NA,Approach road to Mustoh,25.209456,91.646315,Rock,Slide,NA
488,19764,MG/EKH/78O12/2017/47,Meghalaya,East Khasi Hills,NA,50 m downslope of approach road to Sohbar village,25.209568,91.745894,Rock,Slide,NA
488,19765,MG/EKH/78O12/2017/50,Meghalaya,East Khasi Hills,NA,Approach road to Mustoh,25.209703,91.646662,Rock,Slide,NA
488,19766,MG/SWK/78O04/2017/1,Meghalaya,South West Khasi Hills,Ranikor slide,AlongNonghyllam Ranikor road (nearRanikor),25.211269,91.208223,Rock,Slide,NA
488,19767,MEG/WJH/83C4/2016/10,Meghalaya,West Jaintia Hills,0.24 km N of Nongtalang,NH40E( Jowai Dawki road),25.211722,92.065389,Debris,Slide,2016
488,19768,MEG/WJH/83C4/2016/09,Meghalaya,West Jaintia Hills,0.25 km N of Nongtalang,NH40E( Jowai Dawki road),25.211814,92.065517,Debris,Slide,NA
488,19769,MEG/WJH/83C4/2016/27,Meghalaya,West Jaintia Hills,1.3 km E of Sohkha mission,NH40E,25.21225,92.047306,Debris,Slide,2016
488,19770,MG/EKH/78O12/2017/19,Meghalaya,East Khasi Hills,NA,Approach road to Sohbar village,25.212554,91.747962,Debris,Slide,NA
488,19771,MEG/WJH/83C4/2016/29,Meghalaya,West Jaintia Hills,1.13 km E of Sohkha mission,NH40E,25.214153,92.045428,Debris,Slide,2016
488,19772,MG/EKH/78O12/2017/43,Meghalaya,East Khasi Hills,NA,Along LawbahHat Mawdon,25.214783,91.590875,Rock,Slide,NA
488,19773,MEG/WJH/83C4/2016/08,Meghalaya,West Jaintia Hills,1.3 km W of Nongtalang Amsohmeheleng,NH40E( Jowai Dawki road),25.214944,92.073917,Debris,Slide,2016
488,19774,MEG/WJH/83C4/2016/07,Meghalaya,West Jaintia Hills,Nongtalang┬á Amsohmeheleng,NH40E( Jowai Dawki road),25.215028,92.075167,Debris,Slide,NA
488,19775,MEG/WJH/83C4/2016/05,Meghalaya,West Jaintia Hills,0.24 km NE of Nongtalang Amsohmeheleng,NH40E,25.215583,92.077639,Debris,Slide,NA
488,19776,MEG/WJH/83C4/2016/06,Meghalaya,West Jaintia Hills,0.21 km NE of Nongtalang Amsohmeheleng,NH40E,25.215611,92.077361,Debris,Slide,NA
488,19777,MG/EKH/78O12/2017/54,Meghalaya,East Khasi Hills,NA,Along Sohra Mawlong road,25.216078,91.738387,Debris,Slide,NA
