source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,elevation,slope,aspect,plan_curvature,profile_curvature,twi,spi
500,20218,ME/EKJ/78O14/2015/12,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.571747,91.827526,Debris,Slide,NA,1305.00,30.91,335.69,-0.018519,0.000000,7.0601,417.5639
500,20219,ME/EKJ/78O14/2015/13,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.572312,91.828292,Debris,Slide,NA,1326.00,40.50,314.47,0.006283,-0.001689,6.1942,357.3280
500,20220,MG/WKH/78O02/2017/25,Meghalaya,West Khasi Hills,0.3 km W of Umsaw,NH44E,25.572492,91.209156,Debris,Slide,NA,1263.00,15.53,215.48,0.007744,0.000881,5.3017,15.5074
500,20221,ME/EKJ/78O14/2015/14,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.57255,91.828833,Debris,Slide,NA,1326.00,40.86,341.58,-0.000093,-0.004141,4.1666,48.2518
500,20222,ME/EKJ/78O14/2015/15,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.573653,91.831023,Debris,Slide,NA,1357.00,34.15,317.64,-0.003318,-0.001959,4.8150,56.7662
500,20223,ME/EKH/83C02/2015/147,Meghalaya,East Khasi Hills,NA,NH-44,25.57395,92.058583,Debris,Slide,NA,1187.00,18.48,332.01,0.001408,0.000491,5.5230,27.9645
500,20224,MG/WKH/78O02/2017/60,Meghalaya,West Khasi Hills,0.3 km NNE of Umsaw,Umsaw Mawsiangbah approach road,25.57425,91.214472,Debris,Slide,NA,1247.00,15.57,105.14,-0.004163,-0.001982,6.2159,38.8488
500,20225,ME/EKJ/78O14/2015/16,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.57428,91.831851,Debris,Slide,NA,1362.00,38.43,328.31,0.001307,0.002361,4.2530,44.2584
500,20226,ME/EKH/83C02/2015/148,Meghalaya,East Khasi Hills,NA,".5 km NE of Thangshalai, NH-44",25.576203,92.057722,Debris,Slide,NA,1173.00,6.52,44.94,0.074842,0.003839,5.4981,3.1855
500,20227,ME/EKH/83C02/2015/181,Meghalaya,East Khasi Hills,NA,NA,25.576806,92.242444,Debris,Slide,NA,1190.00,14.72,297.49,-0.007665,-0.006615,6.6110,51.2921
