source_page,sl_no,slide_no,latitude,longitude,slide_name,duplicate_reason
420,17145,MH/RAIG/47F03/2008/0020,18.291111,73.040556,NA,Slide_No MH/RAIG/47F03/2008/0020 appears 2 times in inventory
420,17146,MH/RAIG/47F03/2008/0020,18.295556,73.036667,NA,Slide_No MH/RAIG/47F03/2008/0020 appears 2 times in inventory
424,17314,MH/PUN/47F09/2020/1,18.83,73.73,-,Slide_No MH/PUN/47F09/2020/1 appears 2 times in inventory
424,17323,MH/PUN/47F09/2020/1,18.95,73.7,-,Slide_No MH/PUN/47F09/2020/1 appears 2 times in inventory
427,17458,MH/AHM/47E14/2018/2,19.501389,73.863611,NA,Slide_No MH/AHM/47E14/2018/2 appears 2 times in inventory
427,17462,MH/AHM/47E14/2018/2,19.548889,73.761389,NA,Slide_No MH/AHM/47E14/2018/2 appears 2 times in inventory
427,17463,MH/AHM/47E14/2018/1,19.549444,73.763889,NA,Slide_No MH/AHM/47E14/2018/1 appears 2 times in inventory
427,17465,MH/AHM/47E14/2018/1,19.625278,73.807778,NA,Slide_No MH/AHM/47E14/2018/1 appears 2 times in inventory
429,17561,MH/SAT/47G14/2021/23A,17.63980556,73.83633333,Sandavali,Slide_No MH/SAT/47G14/2021/23A appears 2 times in inventory
429,17562,MH/SAT/47G14/2021/23B,17.63913889,73.83630556,Sandavali,Slide_No MH/SAT/47G14/2021/23B appears 2 times in inventory
429,17563,MH/SAT/47G14/2021/23C,17.63897222,73.83763889,Sandavali,Slide_No MH/SAT/47G14/2021/23C appears 2 times in inventory
433,17660,MH/SAT/47G14/2021/23A,17.63980556,73.83633333,Sandavali,Exact duplicate of record Sl.No 17561 on page 429
433,17661,MH/SAT/47G14/2021/23B,17.63913889,73.83630556,Sandavali,Exact duplicate of record Sl.No 17562 on page 429
433,17662,MH/SAT/47G14/2021/23C,17.63897222,73.83763889,Sandavali,Exact duplicate of record Sl.No 17563 on page 429
433,17667,MH/SAT/47G09/2021-22/43,17.86061944,73.64401944,Zanzwad,Slide_No MH/SAT/47G09/2021-22/43 appears 3 times in inventory
433,17668,MH/SAT/47G09/2021-22/43,17.86045,73.64500556,Zanzwad,Slide_No MH/SAT/47G09/2021-22/43 appears 3 times in inventory
433,17670,MH/SAT/47G09/2021-22/43,17.86452778,73.64808333,Zanzwad,Slide_No MH/SAT/47G09/2021-22/43 appears 3 times in inventory
