record_type,record_id,latitude,longitude,spatial_block_id,spatial_block_name,sample_ratio_tier,min_dist_to_landslide_m,nearest_positive_sl_no,colocation_duplicate_flag
PSEUDO_ABSENCE,NEG_0230,25.444324,91.993679,3,East Khasi Block,1:1,4081.94,20038,NO
PSEUDO_ABSENCE,NEG_0231,25.681822,91.909161,4,Ri-Bhoi Block,1:1,802.65,20625,NO
PSEUDO_ABSENCE,NEG_0232,25.906882,89.851016,1,Garo Hills Block,1:1,38545.33,20254,NO
PSEUDO_ABSENCE,NEG_0233,25.401806,91.311781,2,West Khasi Block,1:1,5887.10,20064,NO
PSEUDO_ABSENCE,NEG_0234,25.131813,91.454275,2,West Khasi Block,1:1,4766.11,19708,NO
PSEUDO_ABSENCE,NEG_0235,25.169126,91.766633,3,East Khasi Block,1:1,2196.98,19722,NO
PSEUDO_ABSENCE,NEG_0236,25.436388,89.872591,1,Garo Hills Block,1:1,14986.30,20127,NO
PSEUDO_ABSENCE,NEG_0237,25.276521,91.900771,3,East Khasi Block,1:1,2652.88,19874,NO
PSEUDO_ABSENCE,NEG_0238,26.086946,92.287755,4,Ri-Bhoi Block,1:1,5489.15,20481,NO
PSEUDO_ABSENCE,NEG_0239,25.579367,90.014055,1,Garo Hills Block,1:1,2413.65,20232,NO
PSEUDO_ABSENCE,NEG_0240,25.185441,90.039499,1,Garo Hills Block,1:1,19225.74,19854,NO
PSEUDO_ABSENCE,NEG_0241,25.362921,92.019240,5,Jaintia Hills Block,1:1,1487.37,19972,NO
PSEUDO_ABSENCE,NEG_0242,25.339059,90.207763,1,Garo Hills Block,1:1,9463.93,19854,NO
PSEUDO_ABSENCE,NEG_0243,25.374919,92.438671,5,Jaintia Hills Block,1:1,744.91,19995,NO
PSEUDO_ABSENCE,NEG_0244,25.798724,91.898179,4,Ri-Bhoi Block,1:1,2416.19,20628,NO
PSEUDO_ABSENCE,NEG_0245,25.069201,92.293473,5,Jaintia Hills Block,1:1,4581.97,19654,NO
PSEUDO_ABSENCE,NEG_0246,25.654270,90.810089,1,Garo Hills Block,1:1,2093.76,20309,NO
PSEUDO_ABSENCE,NEG_0247,25.080965,89.878219,1,Garo Hills Block,1:1,38122.53,20578,NO
PSEUDO_ABSENCE,NEG_0248,25.148237,91.583029,2,West Khasi Block,1:1,3645.11,19715,NO
PSEUDO_ABSENCE,NEG_0249,25.570548,92.078245,5,Jaintia Hills Block,1:1,2008.10,20223,NO
PSEUDO_ABSENCE,NEG_0250,25.763889,91.731034,4,Ri-Bhoi Block,1:1,6500.08,20648,NO
PSEUDO_ABSENCE,NEG_0251,25.675453,90.194400,1,Garo Hills Block,1:1,1565.35,20364,NO
PSEUDO_ABSENCE,NEG_0252,25.137828,90.638611,1,Garo Hills Block,1:1,8075.66,20577,NO
